country_name,REGION,SUBREGION,UN,spatial,temporal,V2022,V2024S1T5,f_file_name
South Australia,9,53,36,,,[2001-2021](https://scholar.colorado.edu/concern/datasets/fn107015p),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/x059c9152),
South Georgia and The Islands,19,5,239,3,8,,,south_georgia_and_the_islands_s3t8
South Korea,142,30,410,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/pg15bg177),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/kw52j990z),south_korea_s3t8
South Sudan,2,14,728,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/b2773w89g),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/1g05fd479),south_sudan_s1t1
Spain,150,39,724,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/gb19f7006),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/xw42n953k),spain_s5t11
Sri Lanka,142,34,144,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/9z9030982),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/ws859h30c),sri_lanka_s3t8
Sudan,2,15,729,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/g158bj37v),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/9880vs542),sudan_s1t1
Suriname,19,5,740,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/qv33rx839),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/n583xw60q),suriname_s3t8
Sweden,150,154,752,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/sb397945f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/1j92g930b),sweden_s5t11
Switzerland,150,155,756,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/v692t736f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/1g05fd42x),switzerland_s5t11
Syria,142,145,760,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/765373194),syria_s5t11
Taiwan,142,30,158,1,2,[2001-2021](https://scholar.colorado.edu/concern/datasets/df65v9276),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/6t053h714),taiwan_s1t2
Tajikistan,142,143,762,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/47429b07v),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/9k41zg39z),tajikistan_s3t8
Tanzania,2,14,834,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/7w62f947x),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/76537320w),tanzania_s1t1
Tasmania,9,53,36,,,[2001-2021](https://scholar.colorado.edu/concern/datasets/c534fq19w),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/x059c9152),
